name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
durres,2021-01-01,15,4,9,15,2.8,8.3,5.1,78,6.99,100,8.33,rain,0,0,27.4,16.6,156.2,1016.4,65.4,11,75.4,6.4,3,,2021-01-01T07:08:14,2021-01-01T16:23:38,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"13615099999,13624099999,13611099999,LATI,13601099999"
durres,2021-01-02,17.5,2.5,10,17.5,-0.9,9.3,2.6,62.9,0.4,100,4.17,rain,0,0,40.7,15.7,161.5,1016.3,48.2,10.8,85.9,7.5,4,,2021-01-02T07:08:18,2021-01-02T16:24:30,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"13615099999,13624099999,13611099999,LATI,13601099999"
durres,2021-01-03,18,7.5,12.2,18,6.1,11.8,7.2,73.2,1.992,100,4.17,rain,0,0,53.6,29.1,164.4,1014.6,69.8,10.4,79.2,7,4,,2021-01-03T07:08:21,2021-01-03T16:25:23,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"13615099999,13624099999,13611099999,LATI,13601099999"
durres,2021-01-04,13,7,10.3,13,5.3,9.7,7.1,80.9,5.038,100,12.5,rain,0,0.1,33.1,36.7,166,1011,93.6,10.4,32.8,2.7,2,,2021-01-04T07:08:21,2021-01-04T16:26:18,0.69,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"13615099999,13624099999,13611099999,LATI,13601099999"
durres,2021-01-05,14.3,5,10.3,14.3,2.8,9.5,5.5,73.3,7.973,100,12.5,rain,0,0,52.9,18.5,150.1,1014.4,76.2,10.3,78.9,6.9,4,,2021-01-05T07:08:19,2021-01-05T16:27:15,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"13615099999,13624099999,13611099999,LATI,13601099999"
durres,2021-01-06,14.3,9,11,14.3,5.3,10.5,7.2,77.4,10.961,100,16.67,rain,0,0,55.1,36.6,151.6,1016.2,93.4,9.9,54.1,4.7,3,,2021-01-06T07:08:14,2021-01-06T16:28:13,0.75,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"13615099999,13624099999,13611099999,LATI,13601099999"
durres,2021-01-07,13.3,9.4,10.9,13.3,7.2,10.8,9.3,90,29.561,100,16.67,rain,0,0.1,50.8,18.2,146.4,1014.5,98,7.8,14.7,1.3,1,,2021-01-07T07:08:07,2021-01-07T16:29:12,0.8,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"13615099999,13624099999,13611099999,LATI,13601099999"
durres,2021-01-08,17,10.1,13.4,17,10.1,13.4,11.1,86.1,24.098,100,16.67,rain,0,0,51.1,29.2,181.5,1009,98.2,8.8,45.1,3.9,3,,2021-01-08T07:07:58,2021-01-08T16:30:13,0.83,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"13615099999,13624099999,13611099999,LATI,13601099999"
durres,2021-01-09,15.3,9,10.9,15.3,8.2,10.8,9.3,90.3,21.009,100,16.67,rain,0,0,40.3,11.1,327.1,1012.4,98,8.8,34.4,3,2,,2021-01-09T07:07:47,2021-01-09T16:31:15,0.87,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"13615099999,13624099999,13611099999,LATI,13601099999"
durres,2021-01-10,14.6,9,10.6,14.6,7.6,10.5,9.2,91.1,25.992,100,12.5,rain,0,0,44.3,14.8,15.7,1011.2,98.6,7.9,29.7,2.6,1,,2021-01-10T07:07:33,2021-01-10T16:32:18,0.9,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"13615099999,13624099999,13611099999,LATI,13601099999"
durres,2021-01-11,14.1,5.5,11.9,14.1,5.5,11.9,9.8,87.1,15.004,100,12.5,rain,0,0,51.5,22.1,297.4,1011.5,82.5,8.7,37.7,3.1,2,,2021-01-11T07:07:17,2021-01-11T16:33:22,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"13615099999,13624099999,13611099999,LATI,13601099999"
durres,2021-01-12,12.3,5.5,8.9,12.3,5.5,8.7,5.7,81.1,0.002,100,4.17,rain,0,0,30.2,18.1,333.6,1011.1,80.9,9.1,82.2,7.1,3,,2021-01-12T07:06:59,2021-01-12T16:34:28,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"13615099999,13624099999,13611099999,LATI,13601099999"
durres,2021-01-13,12.6,3.5,8.3,12.6,1,7.1,4.4,77.2,0.018,100,8.33,rain,0,0.2,33.8,25,323.4,1010.9,87.7,10.3,86.7,7.6,4,,2021-01-13T07:06:38,2021-01-13T16:35:34,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"13615099999,13624099999,13611099999,LATI,13601099999"
durres,2021-01-14,9.6,-2,4.4,8.6,-4.8,2.3,-0.3,73.1,1.018,100,8.33,rain,0,0,40,25.5,323.6,1011.2,59.1,10.4,72.8,6.2,3,,2021-01-14T07:06:16,2021-01-14T16:36:41,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"13615099999,13624099999,13611099999,LATI,13601099999"
durres,2021-01-15,11.3,-3,4,11.3,-6.1,3.2,-3.3,63.3,1.995,100,4.17,rain,0,0.4,31,8.5,1.4,1012.5,42.5,10.6,112.2,9.7,5,,2021-01-15T07:05:51,2021-01-15T16:37:49,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"13615099999,13624099999,13611099999,LATI,13601099999"
durres,2021-01-16,8,-1.5,2.5,6.4,-4.6,-0.1,-6.6,54.8,0.001,100,4.17,"rain,snow",0,0.5,46.1,25.6,358.4,1013.1,18.7,11.2,114.6,9.9,5,,2021-01-16T07:05:24,2021-01-16T16:38:59,0.1,"Snow, Rain",Clear conditions throughout the day with morning rain or snow.,rain,"13615099999,13624099999,13611099999,LATI,13601099999"
durres,2021-01-17,5,-5.5,0,5,-7.5,-1.6,-8.4,56.5,0,0,0,,0,0.1,37.1,18.2,57,1017,55.3,12.8,100.9,8.6,4,,2021-01-17T07:04:54,2021-01-17T16:40:08,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"13615099999,13624099999,13611099999,LATI,13601099999"
